行政區域代碼,名稱,比例尺分母,行政區域設置時間,縣市,鄉鎮,latitude,longitude
10002050,宜蘭縣礁溪鄉,5000,,宜蘭縣,礁溪鄉,24.81121416908686,121.73382407393636
10002060,宜蘭縣壯圍鄉,5000,,宜蘭縣,壯圍鄉,24.760467135791444,121.80116242195166
10002070,宜蘭縣員山鄉,5000,,宜蘭縣,員山鄉,24.736321314984032,121.67302606472973
10002080,宜蘭縣冬山鄉,5000,,宜蘭縣,冬山鄉,24.64500933319112,121.75266528839278
10002090,宜蘭縣五結鄉,5000,,宜蘭縣,五結鄉,24.68507128539806,121.79884089036572
10002100,宜蘭縣三星鄉,5000,,宜蘭縣,三星鄉,24.667369683340247,121.6766264776477
10002110,宜蘭縣大同鄉,5000,,宜蘭縣,大同鄉,24.566806384021778,121.559729814036
10002120,宜蘭縣南澳鄉,5000,,宜蘭縣,南澳鄉,24.470958552505575,121.67217766602305
10004010,新竹縣竹北市,5000,,新竹縣,竹北市,24.830037606941943,121.01284411157313
10004020,新竹縣竹東鎮,5000,,新竹縣,竹東鎮,24.725865398551775,121.07265909946757
10004030,新竹縣新埔鎮,5000,,新竹縣,新埔鎮,24.840104314744934,121.09560054439288
10004040,新竹縣關西鎮,5000,,新竹縣,關西鎮,24.79654541439425,121.16986874782238
10004050,新竹縣湖口鄉,5000,,新竹縣,湖口鄉,24.884048785042957,121.06175050111644
10004060,新竹縣新豐鄉,5000,,新竹縣,新豐鄉,24.906597719095227,121.00340085325848
10004070,新竹縣芎林鄉,5000,,新竹縣,芎林鄉,24.77394340802166,121.09916453136393
10004080,新竹縣橫山鄉,5000,,新竹縣,橫山鄉,24.714482120175237,121.15185641038181
10004090,新竹縣北埔鄉,5000,,新竹縣,北埔鄉,24.676621694739286,121.06384240627932
10004100,新竹縣寶山鄉,5000,,新竹縣,寶山鄉,24.734404267177823,120.99747569656091
10004110,新竹縣峨眉鄉,5000,,新竹縣,峨眉鄉,24.677881456944156,121.0097834747291
10004120,新竹縣尖石鄉,5000,,新竹縣,尖石鄉,24.606926706866872,121.28062977343157
10004130,新竹縣五峰鄉,5000,,新竹縣,五峰鄉,24.583918075690494,121.12771162220265
10005010,苗栗縣苗栗市,5000,,苗栗縣,苗栗市,24.562599007935802,120.80738953228268
10005020,苗栗縣苑裡鎮,5000,,苗栗縣,苑裡鎮,24.410529184245846,120.70350655275239
10005030,苗栗縣通霄鎮,5000,,苗栗縣,通霄鎮,24.467107284924868,120.72610984133982
10005040,苗栗縣竹南鎮,5000,,苗栗縣,竹南鎮,24.697495555470685,120.88993351875318
10005050,苗栗縣頭份市,5000,,苗栗縣,頭份市,24.67974253573786,120.92526708291574
10005060,苗栗縣後龍鎮,5000,,苗栗縣,後龍鎮,24.5993730162229,120.79551687832495
10005070,苗栗縣卓蘭鎮,5000,,苗栗縣,卓蘭鎮,24.33900625573867,120.83832831253773
10005080,苗栗縣大湖鄉,5000,,苗栗縣,大湖鄉,24.378698285903997,120.84231236627144
10005090,苗栗縣公館鄉,5000,,苗栗縣,公館鄉,24.507679862057465,120.85521131626594
10005100,苗栗縣銅鑼鄉,5000,,苗栗縣,銅鑼鄉,24.458114239581242,120.79360891799259
10005110,苗栗縣南庄鄉,5000,,苗栗縣,南庄鄉,24.586876135389733,121.00566412954454
10005120,苗栗縣頭屋鄉,5000,,苗栗縣,頭屋鄉,24.580921544518944,120.87949732977621
10005130,苗栗縣三義鄉,5000,,苗栗縣,三義鄉,24.38446619868352,120.76839041331576
10005140,苗栗縣西湖鄉,5000,,苗栗縣,西湖鄉,24.54062881763996,120.76290134783548
10005150,苗栗縣造橋鄉,5000,,苗栗縣,造橋鄉,24.61477893505773,120.88725627153647
10005160,苗栗縣三灣鄉,5000,,苗栗縣,三灣鄉,24.629261221008388,120.95171207864891
10005170,苗栗縣獅潭鄉,5000,,苗栗縣,獅潭鄉,24.53092414201656,120.92706725067985
10005180,苗栗縣泰安鄉,5000,,苗栗縣,泰安鄉,24.432749279611944,121.0550547670944
10007010,彰化縣彰化市,5000,,彰化縣,彰化市,24.06740074741663,120.55910942123512
10007020,彰化縣鹿港鎮,5000,,彰化縣,鹿港鎮,24.082238486072843,120.44786850660162
10007030,彰化縣和美鎮,5000,,彰化縣,和美鎮,24.111142484004663,120.50592583797366
10007040,彰化縣線西鄉,5000,,彰化縣,線西鄉,24.123966194298863,120.46219813719493
10007050,彰化縣伸港鄉,5000,,彰化縣,伸港鄉,24.151235631975684,120.48506487378991
10007060,彰化縣福興鄉,5000,,彰化縣,福興鄉,24.028870052568525,120.44270932259394
10007070,彰化縣秀水鄉,5000,,彰化縣,秀水鄉,24.02625563034692,120.51053811917537
10007080,彰化縣花壇鄉,5000,,彰化縣,花壇鄉,24.03146437782329,120.55869802787291
10007090,彰化縣芬園鄉,5000,,彰化縣,芬園鄉,24.002816232107172,120.62673800599137
10007100,彰化縣員林市,5000,,彰化縣,員林市,23.960571904829468,120.5998227941789
10007110,彰化縣溪湖鎮,5000,,彰化縣,溪湖鎮,23.954058849153274,120.4889646307252
10007120,彰化縣田中鎮,5000,,彰化縣,田中鎮,23.860985228331792,120.59147817717634
10007130,彰化縣大村鄉,5000,,彰化縣,大村鄉,23.996061323139497,120.55904908211234
10007140,彰化縣埔鹽鄉,5000,,彰化縣,埔鹽鄉,23.99499451941345,120.4664851368591
10007150,彰化縣埔心鄉,5000,,彰化縣,埔心鄉,23.95362549752458,120.52991714641315
10007160,彰化縣永靖鄉,5000,,彰化縣,永靖鄉,23.92226827127903,120.53883973056925
10007170,彰化縣社頭鄉,5000,,彰化縣,社頭鄉,23.903168810085763,120.60407926445632
10007180,彰化縣二水鄉,5000,,彰化縣,二水鄉,23.820365896609232,120.62660195732985
10007190,彰化縣北斗鎮,5000,,彰化縣,北斗鎮,23.866351799256467,120.53637882942489
10007200,彰化縣二林鎮,5000,,彰化縣,二林鎮,23.909886851654647,120.39912502342612
10007210,彰化縣田尾鄉,5000,,彰化縣,田尾鄉,23.892765758550695,120.5345749948142
10007220,彰化縣埤頭鄉,5000,,彰化縣,埤頭鄉,23.873943073856193,120.46884030565273
